scorer,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000
bodyparts,c1,c1,c1,m1,m1,m1,m2,m2,m2,m3,m3,m3,m4,m4,m4,m5,m5,m5,m6,m6,m6,m7,m7,m7,m8,m8,m8
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
17,367.8119516,172.6378384,1,427.0963163,174.4776289,1,408.2540979,141.5807991,1,368.7498975,124.6252133,1,338.4099464,140.8511734,1,322.0370274,171.3279343,1,332.4793275,206.064353,1,370.5879173,221.5961599,1,413.7009231,209.0040379,1
18,365.4910985,180.1450138,1,423.0987518,181.6310914,1,400.754271,146.2961164,1,365.4873325,131.6909289,1,333.7013857,147.1648002,1,315.6434003,178.1543889,1,326.2506714,214.6865015,1,363.3955021,233.6308727,1,409.7054777,217.8283381,1
19,353.5794344,181.9526888,1,412.4608612,182.4909518,1,390.3107765,146.674036,1,356.4191608,134.1606402,1,322.9868126,148.5238705,1,303.0652986,180.5036831,1,316.515377,216.6108313,1,354.8538628,237.6368437,1,399.0576353,220.0697222,1
20,351.5258281,184.2977791,1,411.4280362,186.0134974,1,391.4852488,148.9055175,1,355.2398667,137.0299554,1,322.3015194,151.9143817,1,303.9380393,183.565588,1,315.7344117,218.892334,1,351.4603608,239.9935246,1,399.1857564,223.3703034,1
21,353.5846572,191.2466407,1,409.9934354,192.1262202,1,390.5324614,158.0911276,1,358.7508121,144.4277968,1,324.6212463,157.945755,1,305.7599549,190.2201643,1,315.6988559,227.1657319,1,350.9645238,247.2595594,1,394.1475158,231.141504,1
22,355.5791211,196.7400671,1,411.7266035,198.3783665,1,394.1930323,163.9328618,1,360.2993507,151.3967049,1,328.4885325,165.1253748,1,309.3901449,196.0600586,1,320.4530802,230.1678905,1,353.9653087,247.5237706,1,398.8393216,234.3252172,1
23,357.6577804,194.5936718,1,408.7063532,194.8558455,1,394.1472149,163.3224835,1,363.2511033,151.7751446,1,332.2271013,163.0092459,1,313.3577428,193.9401655,1,322.3483686,227.6846542,1,356.2879263,245.122756,1,396.1111854,229.0453329,1
24,348.2092733,191.8208504,1,399.4861836,192.3865175,1,381.9638637,162.7842474,1,351.3180008,151.1385617,1,322.3670039,162.6870589,1,306.985074,192.1459661,1,316.7403414,222.5264597,1,347.8149281,238.6976264,1,385.010036,224.8043509,1
25,355.5313077,193.9479232,1,404.0921861,194.1120725,1,387.3912847,164.7877131,1,357.0656919,151.8300066,1,327.7130287,163.0709162,1,311.9293959,193.5193205,1,321.584517,225.3369775,1,352.9474192,240.6752076,1,390.7240357,227.6082759,1
26,365.7526426,206.8855703,1,412.3337612,207.3232338,1,396.4485089,179.7115169,1,367.1906862,167.6997788,1,338.3027577,179.4699278,1,323.6813424,206.732276,1,330.7324338,234.0435987,1,364.685835,250.8039937,1,400.5844007,237.5158309,1
