scorer,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000
bodyparts,c1,c1,c1,m1,m1,m1,m2,m2,m2,m3,m3,m3,m4,m4,m4,m5,m5,m5,m6,m6,m6,m7,m7,m7,m8,m8,m8
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
17,344.7529545,190.0733025,1,404.7854869,194.7494535,1,384.8662434,153.9444542,1,346.106257,137.1201305,1,310.4657989,153.4418683,1,290.1546364,187.6558857,1,304.3253427,226.8775077,1,346.4016623,246.1915889,1,389.7225906,234.8214536,1
18,340.7054037,193.220408,1,404.4849443,198.5361943,1,381.2207087,157.1238871,1,343.3025794,139.4970698,1,310.619159,154.0718799,1,288.4448185,190.1399508,1,302.69208,228.5756454,1,343.4475436,249.5491514,1,388.8634652,236.9137421,1
19,337.4593444,193.2934232,1,400.279871,198.4314363,1,375.7663212,156.5934701,1,339.7796575,140.1453419,1,305.5761323,155.5551329,1,285.2380562,193.0558925,1,298.4037538,230.4900112,1,341.9725697,249.1953335,1,386.7703946,236.4954157,1
20,338.3924145,196.0581293,1,399.3414822,200.1484737,1,376.6204505,157.2142637,1,339.5731936,142.9565208,1,305.4401689,161.4284267,1,283.8482052,196.2769194,1,298.3293843,234.2300649,1,340.187935,254.1093018,1,385.2088408,239.5045133,1
21,336.7824426,195.5010784,1,398.5421243,199.8974204,1,376.2359853,156.9169313,1,337.9224477,142.1340933,1,303.5248666,161.2335758,1,283.5121297,196.1596794,1,298.2082586,233.3203397,1,339.9259821,251.3805193,1,384.9874234,237.8880662,1
22,334.4134278,196.013094,1,395.8733321,200.628058,1,374.9225712,159.4249856,1,336.7031896,141.235033,1,301.9149027,159.8272951,1,279.9991715,194.1093254,1,292.759478,229.6594315,1,337.2584209,250.2715081,1,383.6934109,236.9414952,1
23,364.6633133,219.5460758,1,421.8418871,223.1923985,1,400.6363974,189.5823203,1,366.1747186,172.6091509,1,333.8808063,188.3089409,1,317.9509068,219.3799372,1,330.2299471,247.9120011,1,365.0104343,264.8792377,1,408.7548957,262.4703329,1
24,325.8348384,209.1082058,1,390.8265874,211.2339287,1,372.9741914,175.4122112,1,332.154492,155.0980749,1,286.8239288,174.789886,1,267.0340468,206.2511187,1,277.198427,235.7361937,1,334.2118659,260.0240961,1,375.2613761,248.8474989,1
25,330.9158854,205.5119351,1,391.5931177,204.1397547,1,371.01428,164.4606781,1,332.2085381,144.6991234,1,289.8120451,164.098176,1,270.4931886,199.8637938,1,285.6686627,237.5122705,1,331.7263643,261.7451243,1,377.2465439,246.1723416,1
26,328.079721,209.3489909,1,391.6472301,210.1557018,1,369.5865679,167.929399,1,331.3883683,149.7627392,1,287.3080399,170.529408,1,269.2720041,207.2632792,1,283.7890958,242.6452098,1,327.38235,261.7454166,1,379.7776187,248.7035241,1
27,328.1494894,215.5523393,1,394.1556253,219.7282964,1,371.3131199,176.465765,1,334.2494786,160.7450199,1,291.6348934,179.6502714,1,270.4967737,215.4989021,1,283.2514544,247.2251987,1,322.9537798,265.4878497,0.999999583,382.1490526,257.0396743,1
28,333.8095373,215.366255,1,401.9405503,217.1707048,1,377.0910935,178.0548673,1,338.8537409,163.9246259,1,299.0119905,181.5171528,1,277.7717745,217.1756077,1,289.3465614,248.4004927,1,325.8514578,265.521493,0.999999344,389.1011449,254.6050549,1
29,315.2131929,202.9160643,1,385.7814503,207.3743298,1,364.4116376,163.0785127,1,324.1796108,146.2458773,1,282.8640394,167.6697266,1,261.1148789,203.2027588,1,271.9958408,235.7113557,1,324.3697934,265.0854988,0.999535382,369.7214339,250.7843666,1
30,324.3761145,209.3751974,1,391.7995088,215.0376456,1,370.441256,173.1652511,1,328.3489656,156.7600336,1,290.9284441,173.8258572,1,269.4568536,208.3756747,1,278.8702133,245.9324579,1,317.1894648,269.2045089,0.999936163,375.6480854,256.0771852,1
31,324.9902171,212.5316659,1,397.2381623,216.7965033,1,372.2927939,173.4568061,1,332.2154064,158.9161918,1,293.8679577,176.5627174,1,272.620321,212.9815369,1,283.8049703,254.4514742,1,323.327364,275.6563248,1,378.4467118,258.6976916,1
32,326.2281933,215.4585271,1,401.2273345,215.2189744,1,376.0643582,172.3030996,1,336.3012567,158.4728634,1,297.0228906,178.650135,1,273.8810177,215.1675298,1,286.6693556,256.979486,1,327.035567,277.9634602,1,384.6255298,258.4158635,1
